[2026-04-08 12:02:00,299] INFO - 🚀 Starting preprocessing...
[2026-04-08 12:02:01,970] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-04-08 12:02:01,983] INFO - 🧹 Cleaning text...
[2026-04-08 12:02:03,344] INFO - ✅ Text cleaned.
[2026-04-08 12:02:03,344] INFO - 🔠 Vectorizing using TF-IDF...
[2026-04-08 12:02:03,592] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2026-04-08 12:02:03,593] INFO - 📐 Calculating cosine similarity...
[2026-04-08 12:02:03,684] INFO - ✅ Cosine similarity matrix generated.
[2026-04-08 12:02:03,902] INFO - 💾 Data saved to disk.
[2026-04-08 12:02:03,903] INFO - ✅ Preprocessing complete.
[2026-04-08 12:20:07,054] INFO - 🚀 Starting preprocessing...
[2026-04-08 12:20:07,878] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-04-08 12:20:07,898] INFO - 🧹 Cleaning text...
[2026-04-08 12:20:09,287] INFO - ✅ Text cleaned.
[2026-04-08 12:20:09,287] INFO - 🔠 Vectorizing using TF-IDF...
[2026-04-08 12:20:09,548] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2026-04-08 12:20:09,549] INFO - 📐 Calculating cosine similarity...
[2026-04-08 12:20:09,657] INFO - ✅ Cosine similarity matrix generated.
[2026-04-08 12:20:09,908] INFO - 💾 Data saved to disk.
[2026-04-08 12:20:09,909] INFO - ✅ Preprocessing complete.
